buffer,gen_dsp_buffer
channels,gen_dsp_channels
cycle,gen_dsp_cycle
data,gen_dsp_data
dim,gen_dsp_dim
lookup,gen_dsp_lookup
nearest,gen_dsp_nearest
peek,gen_dsp_peek
poke,gen_dsp_poke
sample,gen_dsp_sample
splat,gen_dsp_splat
wave,gen_dsp_wave
atodb,gen_dsp_atodb
dbtoa,gen_dsp_dbtoa
ftom,gen_dsp_ftom
mstosamps,gen_dsp_mstosamps
mtof,gen_dsp_mtof
sampstoms,gen_dsp_sampstoms
fftfullspect,gen_dsp_fftfullspect
FFTFULLSPECT,gen_dsp_fftfullspect
ffthop,gen_dsp_ffthop
FFTHOP,gen_dsp_ffthop
fftoffset,gen_dsp_fftoffset
FFTOFFSET,gen_dsp_fftoffset
fftsize,gen_dsp_fftsize
FFTSIZE,gen_dsp_fftsize
samplerate,gen_dsp_samplerate
SAMPLERATE,gen_dsp_samplerate
vectorsize,gen_dsp_vectorsize
VECTORSIZE,gen_dsp_vectorsize
fixdenorm,gen_dsp_fixdenorm
fixnan,gen_dsp_fixnan
isdenorm,gen_dsp_isdenorm
isnan,gen_dsp_isnan
t60,gen_dsp_t60
t60time,gen_dsp_t60time
delay,gen_dsp_delay
history,gen_dsp_history
fftinfo,gen_dsp_fftinfo
change,gen_dsp_change
dcblock,gen_dsp_dcblock
delta,gen_dsp_delta
interp,gen_dsp_interp
latch,gen_dsp_latch
phasewrap,gen_dsp_phasewrap
sah,gen_dsp_sah
slide,gen_dsp_slide
elapsed,gen_dsp_elapsed
mc_channel,gen_dsp_mc_channel
mc_channelcount,gen_dsp_mc_channelcount
voice,gen_dsp_voice
voicecount,gen_dsp_voicecount
*=,gen_dsp_mulequals
mulequals,gen_dsp_mulequals
+=,gen_dsp_plusequals
accum,gen_dsp_accum
plusequals,gen_dsp_plusequals
counter,gen_dsp_counter
round,gen_dsp_round
phasor,gen_dsp_phasor
rate,gen_dsp_rate
train,gen_dsp_train
triangle,gen_dsp_triangle
